,DBC,EEM,EFA,GLD,IEF,IWM,QQQ,SPY,TLT,VNQ
2007-09-24,0.09084004790925997,0.0,2.8010515483062005e-18,0.010405950689246586,0.3939966049315997,1.6744559122504428e-18,3.065195555284453e-19,0.22425707598408512,0.28050032048580864,0.0
2007-09-25,0.09036646345803946,0.0,2.8102298317079962e-18,0.010434363693660235,0.39484638803715866,1.6710621896971376e-18,3.1005817862873256e-19,0.2242696003476131,0.2800831844635286,0.0
2007-09-26,0.09034763342671995,0.0,2.8194113888201488e-18,0.010369477961523526,0.3943312796377649,1.6829120478581304e-18,3.1105773221503724e-19,0.2250796717976495,0.27987193717634223,0.0
2007-09-27,0.0920689794631202,0.0,2.836927445500726e-18,0.010397356181014984,0.39284935789228803,1.6811519331696896e-18,3.1045576026855015e-19,0.22483352279815613,0.2798507836654206,0.0
2007-09-28,0.09178927615780239,0.0,2.841837308667802e-18,0.010514820227972411,0.39305057715674957,1.6614830383338367e-18,3.0948021012619825e-19,0.22411904460592752,0.280526281851548,0.0
2007-10-01,0.09050668294908873,0.0,2.8676773586840194e-18,0.010531550144202182,0.39206686820967085,1.6965005977343602e-18,3.1187534892190527e-19,0.22580805526291808,0.2810868434341202,0.0
2007-10-02,0.08873994611028395,0.0,2.8622559368155973e-18,0.010317065045536571,0.3931543748372648,1.7085221042841671e-18,3.1212924814344064e-19,0.22564087553235243,0.2821477384745623,0.0
2007-10-03,0.08897322658124701,0.0,2.8535698673064698e-18,0.010268547631680135,0.39347283611335865,1.7063633036749294e-18,3.1044188320569697e-19,0.22553073414642916,0.281754655527285,0.0
2007-10-04,0.08989648710148679,0.0,2.853512523553091e-18,0.010370666788302847,0.3927980832908051,1.7030785334690532e-18,3.1007451212993095e-19,0.22509235339006584,0.28184240942933947,0.0
2007-10-05,0.09047165593548845,0.0,2.8926927245422257e-18,0.010482624059550182,0.39069665490644223,1.7436444652689773e-18,3.1746967499634248e-19,0.2285632885145416,0.2797857765839774,0.0
2007-10-08,0.08876230581464634,0.0,2.871771877436613e-18,0.01037960794357522,0.39290931662084333,1.7341362043121324e-18,3.2010801289703396e-19,0.2278121997408175,0.2801365698801175,0.0
2007-10-09,0.08926936644583809,0.0,2.9000953052243017e-18,0.010446446720471769,0.3911876389212457,1.7460351698344987e-18,3.2108435110446226e-19,0.22966515507284807,0.2794313928395964,0.0
2007-10-10,0.09020200447298725,0.0,2.891021352079116e-18,0.010472098826876577,0.39108025198105456,1.74243091740407e-18,3.2146907928160585e-19,0.22900063822726036,0.2792450064918212,0.0
2007-10-11,0.0912348727477203,0.0,2.905135066019455e-18,0.01055323236564663,0.3912246845487957,1.7231785434407022e-18,3.1644124921037994e-19,0.22795786286120176,0.27902934747663566,0.0
2007-10-12,0.09174074085290118,0.0,2.9204592314942116e-18,0.010659868238825046,0.390259435393355,1.738410584764851e-18,3.219573585883954e-19,0.22942429375370668,0.2779156617612122,0.0
2007-10-15,0.09329306717533169,0.0,2.896313679177175e-18,0.010736898866625324,0.39057804942098695,1.7180406742745292e-18,3.1944483168190724e-19,0.22745375208827295,0.277938232448783,0.0
